,Close
2019-08-15,39.1
2019-08-16,39.94
2019-08-19,40.37
2019-08-20,39.9
2019-08-21,39.94
2019-08-22,40.27
2019-08-23,39.33
2019-08-26,40.16
2019-08-27,39.79
2019-08-28,40.38
2019-08-29,41.29
2019-08-30,41.49
2019-09-03,40.99
2019-09-04,41.53
2019-09-05,42.47
2019-09-06,42.18
2019-09-09,43.11
2019-09-10,43.58
2019-09-11,43.94
2019-09-12,44.32
2019-09-13,45.16
2019-09-16,44.75
2019-09-17,44.21
2019-09-18,44.36
2019-09-19,44.02
2019-09-20,43.67
2019-09-23,43.56
2019-09-24,42.54
2019-09-25,43.04
2019-09-26,42.62
2019-09-27,42.84
2019-09-30,42.67
2019-10-01,41.38
2019-10-02,40.23
2019-10-03,40.25
2019-10-04,40.78
2019-10-07,40.68
2019-10-08,39.82
2019-10-09,40.44
2019-10-10,41.05
2019-10-11,41.93
2019-10-14,42.25
2019-10-15,42.53
2019-10-16,42.79
2019-10-17,43.44
2019-10-18,43.66
2019-10-21,44.98
2019-10-22,45.38
2019-10-23,45.91
2019-10-24,45.76
2019-10-25,46.37
2019-10-28,46.84
2019-10-29,46.83
2019-10-30,46.26
2019-10-31,46.05
2019-11-01,47.33
2019-11-04,48.83
2019-11-05,48.75
2019-11-06,48.56
2019-11-07,48.66
2019-11-08,49.15
2019-11-11,49.09
2019-11-12,49.01
2019-11-13,48.39
2019-11-14,48.61
2019-11-15,48.99
2019-11-18,49.03
2019-11-19,49.33
2019-11-20,49.1
2019-11-21,48.84
2019-11-22,49.25
2019-11-25,49.96
2019-11-26,49.41
2019-11-27,49.78
2019-11-29,49.48
2019-12-02,49.08
2019-12-03,48.11
2019-12-04,48.84
2019-12-05,49.07
2019-12-06,49.8
2019-12-09,49.6
2019-12-10,49.67
2019-12-11,49.45
2019-12-12,50.69
2019-12-13,50.24
2019-12-16,50.72
2019-12-17,50.9
2019-12-18,50.66
2019-12-19,50.86
2019-12-20,50.69
2019-12-23,50.72
2019-12-24,50.69
2019-12-26,51.11
2019-12-27,51.09
2019-12-30,50.96
2019-12-31,51.12
2020-01-02,52.04
2020-01-03,51.2
2020-01-06,51.02
2020-01-07,50.92
2020-01-08,51.57
2020-01-09,52.06
2020-01-10,52.21
2020-01-13,52.78
2020-01-14,52.86
2020-01-15,52.94
2020-01-16,56.44
2020-01-17,57.51
2020-01-21,55.92
2020-01-22,55.86
2020-01-23,55.53
2020-01-24,54.55
2020-01-27,53.11
2020-01-28,54.02
2020-01-29,53.68
2020-01-30,53.82
2020-01-31,52.26
2020-02-03,52.6
2020-02-04,54.02
2020-02-05,54.99
2020-02-06,55.01
2020-02-07,55.03
2020-02-10,55.35
2020-02-11,55.78
2020-02-12,56.18
2020-02-13,55.93
2020-02-14,55.84
2020-02-18,55.52
2020-02-19,56.31
2020-02-20,53.75
2020-02-21,52.42
2020-02-24,49.68
2020-02-25,48.03
2020-02-26,47.24
2020-02-27,45.41
2020-02-28,45.03
2020-03-02,46.48
2020-03-03,44.4
2020-03-04,45.24
2020-03-05,42.59
2020-03-06,41.84
2020-03-09,37.5
2020-03-10,39.5
2020-03-11,36.87
2020-03-12,31.31
2020-03-13,37.5
2020-03-16,31.65
2020-03-17,33.79
2020-03-18,30.75
2020-03-19,30.92
2020-03-20,29.67
2020-03-23,27.81
2020-03-24,33.22
2020-03-25,33.99
2020-03-26,35.71
2020-03-27,34.01
2020-03-30,34.84
2020-03-31,34.0
2020-04-01,31.62
2020-04-02,33.9
2020-04-03,33.85
2020-04-06,37.01
2020-04-07,36.94
2020-04-08,39.37
2020-04-09,41.08
2020-04-13,39.58
2020-04-14,39.86
2020-04-15,38.4
2020-04-16,38.36
2020-04-17,39.09
2020-04-20,38.36
2020-04-21,36.95
2020-04-22,37.81
2020-04-23,37.47
2020-04-24,37.97
2020-04-27,39.31
2020-04-28,40.13
2020-04-29,40.79
2020-04-30,39.43
2020-05-01,38.4
2020-05-04,38.09
2020-05-05,37.98
2020-05-06,37.3
2020-05-07,38.81
2020-05-08,40.08
2020-05-11,39.83
2020-05-12,38.42
2020-05-13,36.99
2020-05-14,37.81
2020-05-15,37.29
2020-05-18,40.28
2020-05-19,39.33
2020-05-20,41.06
2020-05-21,40.3
2020-05-22,40.13
2020-05-26,43.69
2020-05-27,46.86
2020-05-28,44.4
2020-05-29,44.2
2020-06-01,44.7
2020-06-02,45.58
2020-06-03,46.91
2020-06-04,48.69
2020-06-05,49.53
2020-06-08,50.15
2020-06-09,50.4
2020-06-10,48.69
2020-06-11,44.57
2020-06-12,46.28
2020-06-15,47.4
2020-06-16,48.56
2020-06-17,47.76
2020-06-18,47.58
2020-06-19,46.93
2020-06-22,47.38
2020-06-23,47.89
2020-06-24,46.95
2020-06-25,48.79
2020-06-26,47.05
2020-06-29,47.24
2020-06-30,48.3
2020-07-01,47.61
2020-07-02,47.79
2020-07-06,48.82
2020-07-07,47.49
2020-07-08,48.91
2020-07-09,47.51
2020-07-10,49.8
2020-07-13,50.22
2020-07-14,50.5
2020-07-15,51.35
2020-07-16,52.64
2020-07-17,52.41
2020-07-20,51.86
2020-07-21,52.38
2020-07-22,51.0
2020-07-23,50.56
2020-07-24,50.18
2020-07-27,51.32
2020-07-28,50.26
2020-07-29,50.59
2020-07-30,48.95
2020-07-31,48.88
2020-08-03,49.46
2020-08-04,49.26
2020-08-05,49.77
2020-08-06,49.45
2020-08-07,50.35
2020-08-10,50.58
2020-08-11,51.78
2020-08-12,52.38
2020-08-13,52.18
2020-08-14,52.3
2020-08-17,51.28
2020-08-18,50.92
2020-08-19,51.37
2020-08-20,50.8
2020-08-21,51.1
2020-08-24,52.37
2020-08-25,52.05
2020-08-26,51.71
2020-08-27,52.61
2020-08-28,52.89
2020-08-31,52.26
2020-09-01,52.58
2020-09-02,53.25
2020-09-03,52.75
2020-09-04,52.71
2020-09-08,50.17
2020-09-09,51.06
2020-09-10,50.29
2020-09-11,50.35
2020-09-14,51.15
2020-09-15,50.39
2020-09-16,51.15
2020-09-17,50.25
2020-09-18,50.08
2020-09-21,48.36
2020-09-22,47.63
2020-09-23,46.42
2020-09-24,46.61
2020-09-25,47.04
2020-09-28,48.38
2020-09-29,47.24
2020-09-30,48.35
2020-10-01,47.26
2020-10-02,47.97
2020-10-05,48.6
2020-10-06,47.74
2020-10-07,48.71
2020-10-08,49.0
2020-10-09,48.83
2020-10-12,50.74
2020-10-13,50.44
2020-10-14,50.65
2020-10-15,51.33
2020-10-16,51.85
2020-10-19,50.95
2020-10-20,51.47
2020-10-21,50.38
2020-10-22,51.77
2020-10-23,51.87
2020-10-26,50.32
2020-10-27,48.59
2020-10-28,47.57
2020-10-29,48.12
2020-10-30,48.15
2020-11-02,49.38
2020-11-03,51.18
2020-11-04,51.43
2020-11-05,52.2
2020-11-06,51.7
2020-11-09,56.02
2020-11-10,55.75
2020-11-11,56.34
2020-11-12,55.55
2020-11-13,56.61
2020-11-16,58.11
2020-11-17,58.81
2020-11-18,58.81
2020-11-19,58.63
2020-11-20,57.81
2020-11-23,60.27
2020-11-24,63.6
2020-11-25,63.48
2020-11-27,63.84
2020-11-30,61.83
2020-12-01,63.28
2020-12-02,64.02
2020-12-03,64.06
2020-12-04,65.0
2020-12-07,64.26
2020-12-08,63.91
2020-12-09,64.37
2020-12-10,64.44
2020-12-11,63.32
2020-12-14,61.88
2020-12-15,63.95
2020-12-16,64.23
2020-12-17,64.67
2020-12-18,64.18
2020-12-21,67.83
2020-12-22,66.64
2020-12-23,68.21
2020-12-24,68.09
2020-12-28,68.05
2020-12-29,67.71
2020-12-30,67.84
2020-12-31,68.53
2021-01-04,68.33
2021-01-05,69.49
2021-01-06,73.68
2021-01-07,74.94
2021-01-08,75.25
2021-01-11,76.06
2021-01-12,75.8
2021-01-13,75.56
2021-01-14,76.47
2021-01-15,75.24
2021-01-19,74.99
2021-01-20,74.84
2021-01-21,74.7
2021-01-22,74.13
2021-01-25,72.38
2021-01-26,71.21
2021-01-27,68.42
2021-01-28,69.32
2021-01-29,67.05
2021-02-01,67.67
2021-02-02,70.95
2021-02-03,70.6
2021-02-04,72.29
2021-02-05,73.22
2021-02-08,74.23
2021-02-09,74.24
2021-02-10,74.33
2021-02-11,73.72
2021-02-12,74.61
2021-02-16,76.05
2021-02-17,75.45
2021-02-18,74.83
2021-02-19,76.0
2021-02-22,77.4
2021-02-23,77.5
2021-02-24,79.88
2021-02-25,78.43
2021-02-26,76.87
2021-03-01,79.16
2021-03-02,80.79
2021-03-03,82.06
2021-03-04,81.11
2021-03-05,80.87
2021-03-08,81.1
2021-03-09,80.85
2021-03-10,83.09
2021-03-11,83.25
2021-03-12,84.34
2021-03-15,83.86
2021-03-16,82.54
2021-03-17,83.86
2021-03-18,83.94
2021-03-19,82.94
2021-03-22,81.92
2021-03-23,79.12
2021-03-24,79.33
2021-03-25,80.13
2021-03-26,79.98
2021-03-29,77.88
2021-03-30,79.09
2021-03-31,77.66
2021-04-01,78.22
2021-04-05,78.0
2021-04-06,79.09
2021-04-07,79.04
2021-04-08,80.2
2021-04-09,80.72
2021-04-12,80.18
2021-04-13,79.53
2021-04-14,80.79
2021-04-15,80.82
2021-04-16,78.59
2021-04-19,80.03
2021-04-20,77.29
2021-04-21,79.25
2021-04-22,78.29
2021-04-23,80.95
2021-04-26,81.52
2021-04-27,81.96
2021-04-28,82.73
2021-04-29,83.64
2021-04-30,82.55
2021-05-03,82.46
2021-05-04,82.64
2021-05-05,84.51
2021-05-06,86.83
2021-05-07,87.7
2021-05-10,86.47
2021-05-11,84.92
2021-05-12,83.68
2021-05-13,84.86
2021-05-14,87.35
2021-05-17,88.09
2021-05-18,86.97
2021-05-19,86.05
2021-05-20,86.47
2021-05-21,88.34
2021-05-24,89.69
2021-05-25,88.86
2021-05-26,89.35
2021-05-27,90.3
2021-05-28,90.95
2021-06-01,92.11
2021-06-02,92.76
2021-06-03,93.35
2021-06-04,93.96
2021-06-07,93.21
2021-06-08,92.79
2021-06-09,92.67
2021-06-10,91.68
2021-06-11,92.05
2021-06-14,90.72
2021-06-15,90.7
2021-06-16,91.1
2021-06-17,87.91
2021-06-18,84.09
2021-06-21,85.94
2021-06-22,85.7
2021-06-23,85.87
2021-06-24,87.08
2021-06-25,88.4
2021-06-28,87.7
2021-06-29,90.64
2021-06-30,91.69
2021-07-01,92.02
2021-07-02,92.03
2021-07-06,90.21
2021-07-07,90.03
2021-07-08,87.64
2021-07-09,90.33
2021-07-12,92.75
2021-07-13,93.21
2021-07-14,92.46
2021-07-15,92.63
2021-07-16,91.25
2021-07-19,89.35
2021-07-20,92.32
2021-07-21,95.68
2021-07-22,95.57
2021-07-23,94.55
2021-07-26,96.54
2021-07-27,96.48
2021-07-28,96.07
2021-07-29,96.28
2021-07-30,95.98
2021-08-02,96.23
2021-08-03,96.6
2021-08-04,96.29
2021-08-05,97.83
2021-08-06,99.73
2021-08-09,100.74
2021-08-10,102.04
2021-08-11,103.88
2021-08-12,104.67
2021-08-13,103.94
2021-08-16,103.72
2021-08-17,102.87
2021-08-18,101.26
2021-08-19,99.73
2021-08-20,100.66
2021-08-23,102.16
2021-08-24,103.09
2021-08-25,104.09
2021-08-26,103.84
2021-08-27,105.45
2021-08-30,104.09
2021-08-31,104.43
2021-09-01,104.31
2021-09-02,104.83
2021-09-03,104.25
2021-09-07,104.18
2021-09-08,103.57
2021-09-09,103.84
2021-09-10,103.62
2021-09-13,104.4
2021-09-14,101.91
2021-09-15,103.04
2021-09-16,102.47
2021-09-17,101.75
2021-09-20,98.63
2021-09-21,98.3
2021-09-22,100.8
2021-09-23,103.55
2021-09-24,102.91
2021-09-27,105.1
2021-09-28,102.04
2021-09-29,99.55
2021-09-30,97.31
2021-10-01,99.05
2021-10-04,97.15
2021-10-05,99.2
2021-10-06,99.1
2021-10-07,98.8
2021-10-08,100.04
2021-10-11,97.29
2021-10-12,97.78
2021-10-13,98.57
2021-10-14,101.01
2021-10-15,102.14
2021-10-18,101.41
2021-10-19,101.75
2021-10-20,100.66
2021-10-21,100.28
2021-10-22,101.8
2021-10-25,101.91
2021-10-26,103.47
2021-10-27,101.87
2021-10-28,102.5
2021-10-29,102.78
2021-11-01,104.0
2021-11-02,104.66
2021-11-03,102.61
2021-11-04,99.79
2021-11-05,99.87
2021-11-08,100.07
2021-11-09,99.71
2021-11-10,97.77
2021-11-11,98.88
2021-11-12,99.85
2021-11-15,100.21
2021-11-16,100.69
2021-11-17,97.68
2021-11-18,97.68
2021-11-19,96.91
2021-11-22,99.32
2021-11-23,101.86
2021-11-24,101.12
2021-11-26,97.93
2021-11-29,97.23
2021-11-30,94.82
2021-12-01,95.26
2021-12-02,98.86
2021-12-03,98.21
2021-12-06,99.27
2021-12-07,102.5
2021-12-08,101.25
2021-12-09,100.58
2021-12-10,98.43
2021-12-13,97.17
2021-12-14,98.82
2021-12-15,99.43
2021-12-16,100.3
2021-12-17,97.13
2021-12-20,95.37
2021-12-21,97.77
2021-12-22,98.3
2021-12-23,99.34
2021-12-27,100.4
2021-12-28,99.97
2021-12-29,98.73
2021-12-30,98.8
2021-12-31,98.16
2022-01-03,100.19
2022-01-04,104.26
2022-01-05,101.68
2022-01-06,103.42
2022-01-07,104.05
2022-01-10,104.13
2022-01-11,105.92
2022-01-12,103.05
2022-01-13,102.55
2022-01-14,98.88
2022-01-18,94.01
2022-01-19,95.73
2022-01-20,99.83
2022-01-21,98.86
2022-01-24,98.08
2022-01-25,99.04
2022-01-26,100.17
2022-01-27,101.15
2022-01-28,101.8
2022-01-31,102.54
2022-02-01,103.95
2022-02-02,103.92
2022-02-03,102.29
2022-02-04,104.11
2022-02-07,105.18
2022-02-08,106.35
2022-02-09,108.73
2022-02-10,107.57
2022-02-11,104.57
2022-02-14,102.57
2022-02-15,103.43
2022-02-16,101.15
2022-02-17,96.15
2022-02-18,95.42
2022-02-22,94.75
2022-02-23,93.55
2022-02-24,91.81
2022-02-25,94.55
2022-02-28,90.74
2022-03-01,87.63
2022-03-02,88.38
2022-03-03,87.78
2022-03-04,86.36
2022-03-07,83.45
2022-03-08,83.31
2022-03-09,87.4
2022-03-10,85.86
2022-03-11,85.18
2022-03-14,84.72
2022-03-15,86.33
2022-03-16,91.76
2022-03-17,93.86
2022-03-18,94.82
2022-03-21,92.61
2022-03-22,94.22
2022-03-23,92.38
2022-03-24,92.13
2022-03-25,92.38
2022-03-28,91.27
2022-03-29,91.84
2022-03-30,90.27
2022-03-31,87.4
2022-04-01,86.99
2022-04-04,87.28
2022-04-05,85.28
2022-04-06,83.13
2022-04-07,83.13
2022-04-08,84.06
2022-04-11,84.02
2022-04-12,83.93
2022-04-13,84.13
2022-04-14,84.76
2022-04-18,86.48
2022-04-19,88.91
2022-04-20,90.61
2022-04-21,88.91
2022-04-22,84.74
2022-04-25,85.05
2022-04-26,82.37
2022-04-27,82.21
2022-04-28,83.4
2022-04-29,80.59
2022-05-02,81.96
2022-05-03,83.75
2022-05-04,87.22
2022-05-05,84.94
2022-05-06,84.23
2022-05-09,81.15
2022-05-10,80.26
2022-05-11,78.89
2022-05-12,78.59
2022-05-13,80.54
2022-05-16,79.9
2022-05-17,82.93
2022-05-18,80.69
2022-05-19,79.96
2022-05-20,79.37
2022-05-23,82.31
2022-05-24,81.96
2022-05-25,82.23
2022-05-26,85.0
2022-05-27,86.45
2022-05-31,86.14
2022-06-01,85.0
2022-06-02,85.2
2022-06-03,84.12
2022-06-06,84.87
2022-06-07,85.33
2022-06-08,83.2
2022-06-09,81.16
2022-06-10,77.4
2022-06-13,75.18
2022-06-14,74.96
2022-06-15,76.02
2022-06-16,73.95
2022-06-17,72.9
2022-06-21,74.63
2022-06-22,74.4
2022-06-23,73.97
2022-06-24,77.82
2022-06-27,77.44
2022-06-28,78.16
2022-06-29,78.19
2022-06-30,76.06
2022-07-01,76.75
2022-07-05,76.11
2022-07-06,75.45
2022-07-07,76.99
2022-07-08,76.73
2022-07-11,75.82
2022-07-12,75.94
2022-07-13,74.98
2022-07-14,74.69
2022-07-15,78.05
2022-07-18,78.86
2022-07-19,81.65
2022-07-20,81.81
2022-07-21,83.02
2022-07-22,82.43
2022-07-25,82.55
2022-07-26,80.79
2022-07-27,82.51
2022-07-28,82.95
2022-07-29,84.3
2022-08-01,84.09
2022-08-02,83.53
2022-08-03,85.05
2022-08-04,85.36
2022-08-05,86.13
2022-08-08,86.03
2022-08-09,86.36
2022-08-10,88.89
2022-08-11,90.2
2022-08-12,91.66
2022-08-15,92.02
2022-08-16,91.82
2022-08-17,91.35
2022-08-18,91.73
2022-08-19,90.01
2022-08-22,88.46
2022-08-23,88.3
2022-08-24,88.6
2022-08-25,89.91
2022-08-26,86.81
2022-08-29,85.35
2022-08-30,84.43
2022-08-31,85.22
2022-09-01,86.17
2022-09-02,86.4
2022-09-06,85.13
2022-09-07,86.86
2022-09-08,88.44
2022-09-09,89.46
2022-09-12,90.15
2022-09-13,87.05
2022-09-14,87.18
2022-09-15,88.26
2022-09-16,87.43
2022-09-19,88.72
2022-09-20,87.19
2022-09-21,86.36
2022-09-22,84.77
2022-09-23,81.51
2022-09-26,79.76
2022-09-27,79.48
2022-09-28,81.47
2022-09-29,79.86
2022-09-30,79.01
2022-10-03,80.38
2022-10-04,83.97
2022-10-05,83.11
2022-10-06,81.31
2022-10-07,78.93
2022-10-10,78.41
2022-10-11,77.0
2022-10-12,76.6
2022-10-13,79.32
2022-10-14,75.3
2022-10-17,77.14
2022-10-18,79.44
2022-10-19,77.64
2022-10-20,76.6
2022-10-21,79.22
2022-10-24,79.43
2022-10-25,80.51
2022-10-26,80.91
2022-10-27,80.69
2022-10-28,82.22
2022-10-31,82.17
2022-11-01,83.72
