,Close
2019-07-19,50.53
2019-07-22,49.67
2019-07-23,50.04
2019-07-24,49.78
2019-07-25,49.59
2019-07-26,49.86
2019-07-29,50.31
2019-07-30,48.5
2019-07-31,47.07
2019-08-01,47.88
2019-08-02,47.93
2019-08-05,46.65
2019-08-06,46.16
2019-08-07,46.23
2019-08-08,46.5
2019-08-09,46.16
2019-08-12,45.98
2019-08-13,46.78
2019-08-14,45.87
2019-08-15,45.49
2019-08-16,46.48
2019-08-19,46.7
2019-08-20,46.03
2019-08-21,46.25
2019-08-22,46.59
2019-08-23,46.41
2019-08-26,47.12
2019-08-27,45.25
2019-08-28,45.85
2019-08-29,44.25
2019-08-30,43.74
2019-09-03,44.04
2019-09-04,44.3
2019-09-05,43.85
2019-09-06,43.85
2019-09-09,44.04
2019-09-10,44.24
2019-09-11,44.72
2019-09-12,44.46
2019-09-13,42.01
2019-09-16,41.41
2019-09-17,41.31
2019-09-18,40.84
2019-09-19,40.12
2019-09-20,40.81
2019-09-23,40.88
2019-09-24,40.73
2019-09-25,40.56
2019-09-26,40.66
2019-09-27,40.13
2019-09-30,40.9
2019-10-01,41.16
2019-10-02,40.21
2019-10-03,40.81
2019-10-04,41.65
2019-10-07,42.17
2019-10-08,42.0
2019-10-09,42.46
2019-10-10,42.98
2019-10-11,42.57
2019-10-14,42.72
2019-10-15,43.43
2019-10-16,43.51
2019-10-17,44.28
2019-10-18,44.33
2019-10-21,45.56
2019-10-22,46.34
2019-10-23,46.75
2019-10-24,46.96
2019-10-25,46.8
2019-10-28,45.99
2019-10-29,46.38
2019-10-30,45.96
2019-10-31,44.79
2019-11-01,45.06
2019-11-04,45.6
2019-11-05,46.25
2019-11-06,45.91
2019-11-07,45.98
2019-11-08,46.41
2019-11-11,46.41
2019-11-12,47.0
2019-11-13,46.83
2019-11-14,46.63
2019-11-15,47.97
2019-11-18,48.34
2019-11-19,46.93
2019-11-20,48.45
2019-11-21,48.82
2019-11-22,49.0
2019-11-25,49.26
2019-11-26,49.22
2019-11-27,49.75
2019-11-29,49.7
2019-12-02,50.6
2019-12-03,50.1
2019-12-04,50.11
2019-12-05,50.17
2019-12-06,50.41
2019-12-09,50.53
2019-12-10,50.05
2019-12-11,50.3
2019-12-12,49.93
2019-12-13,50.16
2019-12-16,50.6
2019-12-17,50.83
2019-12-18,51.36
2019-12-19,50.79
2019-12-20,51.13
2019-12-23,51.55
2019-12-24,50.28
2019-12-26,50.4
2019-12-27,50.4
2019-12-30,49.89
2019-12-31,49.91
2020-01-02,49.25
2020-01-03,49.63
2020-01-06,49.83
2020-01-07,49.57
2020-01-08,50.08
2020-01-09,50.57
2020-01-10,50.22
2020-01-13,50.76
2020-01-14,50.87
2020-01-15,51.25
2020-01-16,51.09
2020-01-17,51.02
2020-01-21,51.09
2020-01-22,51.03
2020-01-23,50.56
2020-01-24,50.25
2020-01-27,49.77
2020-01-28,50.17
2020-01-29,50.11
2020-01-30,48.0
2020-01-31,47.53
2020-02-03,46.26
2020-02-04,46.52
2020-02-05,46.28
2020-02-06,46.66
2020-02-07,46.22
2020-02-10,46.2
2020-02-11,45.57
2020-02-12,45.4
2020-02-13,45.65
2020-02-14,45.17
2020-02-18,45.22
2020-02-19,45.14
2020-02-20,45.56
2020-02-21,45.89
2020-02-24,43.8
2020-02-25,42.49
2020-02-26,42.12
2020-02-27,40.3
2020-02-28,40.37
2020-03-02,42.07
2020-03-03,41.9
2020-03-04,43.93
2020-03-05,43.16
2020-03-06,42.15
2020-03-09,40.34
2020-03-10,42.15
2020-03-11,40.48
2020-03-12,36.42
2020-03-13,40.07
2020-03-16,38.22
2020-03-17,39.85
2020-03-18,38.32
2020-03-19,37.1
2020-03-20,34.28
2020-03-23,31.38
2020-03-24,32.38
2020-03-25,34.37
2020-03-26,36.64
2020-03-27,36.64
2020-03-30,37.31
2020-03-31,38.67
2020-04-01,37.61
2020-04-02,36.22
2020-04-03,37.41
2020-04-06,37.28
2020-04-07,38.48
2020-04-08,40.13
2020-04-09,40.91
2020-04-13,40.44
2020-04-14,42.12
2020-04-15,40.91
2020-04-16,40.4
2020-04-17,40.85
2020-04-20,39.07
2020-04-21,37.76
2020-04-22,37.81
2020-04-23,38.45
2020-04-24,39.42
2020-04-27,39.75
2020-04-28,40.71
2020-04-29,40.47
2020-04-30,39.25
2020-05-01,37.91
2020-05-04,38.01
2020-05-05,36.8
2020-05-06,35.73
2020-05-07,35.1
2020-05-08,36.74
2020-05-11,36.42
2020-05-12,36.08
2020-05-13,36.35
2020-05-14,36.25
2020-05-15,36.59
2020-05-18,37.6
2020-05-19,37.12
2020-05-20,37.77
2020-05-21,37.54
2020-05-22,37.73
2020-05-26,38.28
2020-05-27,39.05
2020-05-28,38.81
2020-05-29,39.05
2020-06-01,39.18
2020-06-02,39.66
2020-06-03,40.21
2020-06-04,40.73
2020-06-05,41.91
2020-06-08,42.83
2020-06-09,42.18
2020-06-10,41.82
2020-06-11,39.29
2020-06-12,39.13
2020-06-15,40.31
2020-06-16,41.09
2020-06-17,40.86
2020-06-18,41.47
2020-06-19,40.69
2020-06-22,40.05
2020-06-23,40.34
2020-06-24,39.43
2020-06-25,39.66
2020-06-26,38.19
2020-06-29,39.23
2020-06-30,39.25
2020-07-01,39.24
2020-07-02,39.4
2020-07-06,39.6
2020-07-07,39.94
2020-07-08,39.87
2020-07-09,38.6
2020-07-10,40.27
2020-07-13,40.21
2020-07-14,41.06
2020-07-15,41.0
2020-07-16,41.48
2020-07-17,41.54
2020-07-20,40.87
2020-07-21,41.22
2020-07-22,41.34
2020-07-23,41.58
2020-07-24,41.85
2020-07-27,42.13
2020-07-28,42.52
2020-07-29,41.63
2020-07-30,41.58
2020-07-31,41.15
2020-08-03,41.01
2020-08-04,41.6
2020-08-05,41.66
2020-08-06,41.55
2020-08-07,42.17
2020-08-10,43.22
2020-08-11,43.6
2020-08-12,42.96
2020-08-13,42.57
2020-08-14,42.54
2020-08-17,43.03
2020-08-18,43.22
2020-08-19,43.65
2020-08-20,43.5
2020-08-21,43.46
2020-08-24,44.04
2020-08-25,43.52
2020-08-26,43.2
2020-08-27,43.75
2020-08-28,43.93
2020-08-31,43.74
2020-09-01,43.12
2020-09-02,43.76
2020-09-03,43.29
2020-09-04,43.49
2020-09-08,43.07
2020-09-09,43.79
2020-09-10,43.35
2020-09-11,43.59
2020-09-14,43.0
2020-09-15,42.78
2020-09-16,41.76
2020-09-17,40.86
2020-09-18,39.84
2020-09-21,38.82
2020-09-22,38.55
2020-09-23,37.93
2020-09-24,38.33
2020-09-25,38.27
2020-09-28,38.95
2020-09-29,38.36
2020-09-30,38.64
2020-10-01,38.92
2020-10-02,38.97
2020-10-05,39.5
2020-10-06,39.6
2020-10-07,40.53
2020-10-08,40.38
2020-10-09,40.69
2020-10-12,40.45
2020-10-13,39.38
2020-10-14,39.55
2020-10-15,39.7
2020-10-16,39.53
2020-10-19,39.18
2020-10-20,38.7
2020-10-21,38.51
2020-10-22,38.99
2020-10-23,39.08
2020-10-26,38.57
2020-10-27,37.17
2020-10-28,36.72
2020-10-29,36.87
2020-10-30,36.08
2020-11-02,36.48
2020-11-03,37.39
2020-11-04,38.08
2020-11-05,37.31
2020-11-06,37.27
2020-11-09,38.17
2020-11-10,39.59
2020-11-11,39.76
2020-11-12,39.5
2020-11-13,40.33
2020-11-16,41.48
2020-11-17,41.19
2020-11-18,40.17
2020-11-19,40.06
2020-11-20,39.94
2020-11-23,40.2
2020-11-24,41.0
2020-11-25,40.38
2020-11-27,40.37
2020-11-30,39.83
2020-12-01,40.49
2020-12-02,40.02
2020-12-03,40.42
2020-12-04,41.37
2020-12-07,41.69
2020-12-08,42.23
2020-12-09,42.98
2020-12-10,42.95
2020-12-11,43.0
2020-12-14,42.9
2020-12-15,42.18
2020-12-16,43.1
2020-12-17,43.0
2020-12-18,43.78
2020-12-21,42.94
2020-12-22,42.55
2020-12-23,42.87
2020-12-24,41.72
2020-12-28,41.48
2020-12-29,40.73
2020-12-30,40.74
2020-12-31,41.0
2021-01-04,40.84
2021-01-05,40.76
2021-01-06,41.42
2021-01-07,41.78
2021-01-08,41.59
2021-01-11,41.35
2021-01-12,40.93
2021-01-13,41.09
2021-01-14,41.11
2021-01-15,41.2
2021-01-19,41.23
2021-01-20,42.1
2021-01-21,41.94
2021-01-22,41.83
2021-01-25,41.96
2021-01-26,42.23
2021-01-27,41.82
2021-01-28,42.65
2021-01-29,41.08
2021-02-01,40.77
2021-02-02,41.57
2021-02-03,42.0
2021-02-04,42.53
2021-02-05,42.47
2021-02-08,42.97
2021-02-09,43.36
2021-02-10,43.55
2021-02-11,43.31
2021-02-12,43.4
2021-02-16,43.41
2021-02-17,43.6
2021-02-18,43.63
2021-02-19,43.8
2021-02-22,44.42
2021-02-23,44.29
2021-02-24,45.0
2021-02-25,44.63
2021-02-26,43.6
2021-03-01,44.54
2021-03-02,44.72
2021-03-03,45.05
2021-03-04,44.26
2021-03-05,45.12
2021-03-08,46.9
2021-03-09,47.68
2021-03-10,48.2
2021-03-11,47.8
2021-03-12,48.65
2021-03-15,49.84
2021-03-16,49.44
2021-03-17,49.78
2021-03-18,50.57
2021-03-19,50.55
2021-03-22,51.64
2021-03-23,50.51
2021-03-24,49.51
2021-03-25,50.19
2021-03-26,52.5
2021-03-29,52.3
2021-03-30,51.26
2021-03-31,51.16
2021-04-01,51.0
2021-04-05,51.32
2021-04-06,51.38
2021-04-07,51.13
2021-04-08,51.48
2021-04-09,51.49
2021-04-12,51.75
2021-04-13,51.17
2021-04-14,51.35
2021-04-15,51.61
2021-04-16,52.31
2021-04-19,49.08
2021-04-20,47.19
2021-04-21,47.58
2021-04-22,46.5
2021-04-23,47.39
2021-04-26,47.22
2021-04-27,47.16
2021-04-28,47.18
2021-04-29,46.6
2021-04-30,47.75
2021-05-03,48.37
2021-05-04,47.85
2021-05-05,48.35
2021-05-06,49.49
2021-05-07,49.95
2021-05-10,50.68
2021-05-11,50.43
2021-05-12,49.35
2021-05-13,50.12
2021-05-14,50.28
2021-05-17,50.21
2021-05-18,49.99
2021-05-19,49.44
2021-05-20,50.03
2021-05-21,50.0
2021-05-24,50.32
2021-05-25,49.61
2021-05-26,49.42
2021-05-27,49.2
2021-05-28,49.22
2021-06-01,49.36
2021-06-02,49.51
2021-06-03,49.78
2021-06-04,49.77
2021-06-07,50.49
2021-06-08,49.88
2021-06-09,49.9
2021-06-10,50.14
2021-06-11,49.76
2021-06-14,48.08
2021-06-15,47.9
2021-06-16,47.37
2021-06-17,46.87
2021-06-18,46.31
2021-06-21,47.29
2021-06-22,47.24
2021-06-23,47.02
2021-06-24,47.43
2021-06-25,47.62
2021-06-28,47.18
2021-06-29,46.78
2021-06-30,47.68
2021-07-01,47.83
2021-07-02,47.53
2021-07-06,46.67
2021-07-07,46.79
2021-07-08,46.43
2021-07-09,47.4
2021-07-12,47.49
2021-07-13,46.84
2021-07-14,47.56
2021-07-15,47.49
2021-07-16,47.31
2021-07-19,46.79
2021-07-20,47.21
2021-07-21,47.33
2021-07-22,46.99
2021-07-23,47.49
2021-07-26,47.61
2021-07-27,47.79
2021-07-28,47.62
2021-07-29,48.6
2021-07-30,48.04
2021-08-02,47.73
2021-08-03,47.79
2021-08-04,47.03
2021-08-05,47.36
2021-08-06,47.35
2021-08-09,47.48
2021-08-10,48.11
2021-08-11,48.17
2021-08-12,48.12
2021-08-13,48.6
2021-08-16,48.39
2021-08-17,48.56
2021-08-18,48.22
2021-08-19,48.24
2021-08-20,48.47
2021-08-23,48.48
2021-08-24,48.21
2021-08-25,48.65
2021-08-26,48.75
2021-08-27,49.53
2021-08-30,49.7
2021-08-31,50.23
2021-09-01,50.08
2021-09-02,51.04
2021-09-03,50.97
2021-09-07,50.79
2021-09-08,50.88
2021-09-09,50.59
2021-09-10,50.6
2021-09-13,50.08
2021-09-14,48.37
2021-09-15,49.23
2021-09-16,48.79
2021-09-17,48.61
2021-09-20,48.14
2021-09-21,48.03
2021-09-22,48.24
2021-09-23,48.81
2021-09-24,48.46
2021-09-27,48.74
2021-09-28,48.27
2021-09-29,48.74
2021-09-30,45.52
2021-10-01,45.86
2021-10-04,46.5
2021-10-05,46.17
2021-10-06,46.45
2021-10-07,46.48
2021-10-08,46.73
2021-10-11,46.71
2021-10-12,47.15
2021-10-13,47.92
2021-10-14,48.67
2021-10-15,48.7
2021-10-18,48.13
2021-10-19,47.9
2021-10-20,48.43
2021-10-21,48.23
2021-10-22,48.22
2021-10-25,47.95
2021-10-26,48.11
2021-10-27,47.5
2021-10-28,44.58
2021-10-29,44.11
2021-11-01,44.05
2021-11-02,44.15
2021-11-03,44.96
2021-11-04,44.61
2021-11-05,45.2
2021-11-08,45.07
2021-11-09,44.79
2021-11-10,44.75
2021-11-11,44.9
2021-11-12,44.92
2021-11-15,45.2
2021-11-16,44.45
2021-11-17,44.42
2021-11-18,44.01
2021-11-19,43.4
2021-11-22,43.99
2021-11-23,44.24
2021-11-24,44.08
2021-11-26,43.74
2021-11-29,43.48
2021-11-30,42.64
2021-12-01,42.99
2021-12-02,43.21
2021-12-03,43.92
2021-12-06,44.43
2021-12-07,44.49
2021-12-08,44.52
2021-12-09,44.59
2021-12-10,45.09
2021-12-13,45.36
2021-12-14,45.4
2021-12-15,45.96
2021-12-16,47.35
2021-12-17,48.25
2021-12-20,48.11
2021-12-21,47.77
2021-12-22,46.88
2021-12-23,46.7
2021-12-27,46.79
2021-12-28,47.38
2021-12-29,47.4
2021-12-30,47.25
2021-12-31,47.39
2022-01-03,47.97
2022-01-04,49.03
2022-01-05,48.64
2022-01-06,49.21
2022-01-07,49.77
2022-01-10,50.54
2022-01-11,49.48
2022-01-12,49.49
2022-01-13,50.31
2022-01-14,50.81
2022-01-18,50.46
2022-01-19,50.09
2022-01-20,50.33
2022-01-21,50.32
2022-01-24,49.95
2022-01-25,50.03
2022-01-26,49.47
2022-01-27,50.34
2022-01-28,50.48
2022-01-31,50.88
2022-02-01,50.64
2022-02-02,50.5
2022-02-03,50.42
2022-02-04,50.19
2022-02-07,50.39
2022-02-08,50.42
2022-02-09,50.6
2022-02-10,50.18
2022-02-11,50.37
2022-02-14,50.09
2022-02-15,50.32
2022-02-16,50.61
2022-02-17,51.37
2022-02-18,51.74
2022-02-22,51.28
2022-02-23,51.95
2022-02-24,49.57
2022-02-25,51.48
2022-02-28,51.29
2022-03-01,51.57
2022-03-02,52.81
2022-03-03,53.17
2022-03-04,53.49
2022-03-07,52.85
2022-03-08,50.89
2022-03-09,51.0
2022-03-10,51.23
2022-03-11,50.48
2022-03-14,50.54
2022-03-15,51.54
2022-03-16,51.28
2022-03-17,51.69
2022-03-18,51.68
2022-03-21,52.25
2022-03-22,53.31
2022-03-23,53.22
2022-03-24,52.5
2022-03-25,53.62
2022-03-28,52.03
2022-03-29,51.68
2022-03-30,52.05
2022-03-31,52.25
2022-04-01,52.71
2022-04-04,52.72
2022-04-05,52.64
2022-04-06,53.83
2022-04-07,53.73
2022-04-08,54.11
2022-04-11,54.45
2022-04-12,54.91
2022-04-13,54.8
2022-04-14,54.98
2022-04-18,54.6
2022-04-19,55.22
2022-04-20,55.37
2022-04-21,56.53
2022-04-22,55.53
2022-04-25,55.23
2022-04-26,54.88
2022-04-27,54.92
2022-04-28,55.2
2022-04-29,55.57
2022-05-02,55.38
2022-05-03,55.44
2022-05-04,56.4
2022-05-05,55.95
2022-05-06,56.57
2022-05-09,55.26
2022-05-10,51.57
2022-05-11,51.69
2022-05-12,52.17
2022-05-13,53.04
2022-05-16,53.74
2022-05-17,54.24
2022-05-18,53.2
2022-05-19,51.09
2022-05-20,51.09
2022-05-23,52.12
2022-05-24,52.93
2022-05-25,53.89
2022-05-26,54.5
2022-05-27,54.43
2022-05-31,54.09
2022-06-01,54.08
2022-06-02,54.15
2022-06-03,53.82
2022-06-06,53.59
2022-06-07,54.01
2022-06-08,49.49
2022-06-09,48.66
2022-06-10,48.94
2022-06-13,47.16
2022-06-14,46.29
2022-06-15,45.67
2022-06-16,45.38
2022-06-17,45.31
2022-06-21,45.7
2022-06-22,41.5
2022-06-23,42.51
2022-06-24,43.4
2022-06-27,43.19
2022-06-28,43.19
2022-06-29,41.76
2022-06-30,41.77
2022-07-01,42.25
2022-07-05,41.72
2022-07-06,41.16
2022-07-07,41.81
2022-07-08,41.52
2022-07-11,41.95
2022-07-12,42.31
2022-07-13,41.96
2022-07-14,41.63
2022-07-15,41.99
2022-07-18,42.27
2022-07-19,42.96
2022-07-20,42.32
2022-07-21,42.77
2022-07-22,43.09
2022-07-25,43.83
2022-07-26,44.14
2022-07-27,44.07
2022-07-28,44.0
2022-07-29,43.86
2022-08-01,44.05
2022-08-02,43.83
2022-08-03,44.23
2022-08-04,44.25
2022-08-05,44.1
2022-08-08,44.22
2022-08-09,44.22
2022-08-10,44.74
2022-08-11,45.13
2022-08-12,45.15
2022-08-15,45.28
2022-08-16,45.74
2022-08-17,45.45
2022-08-18,45.61
2022-08-19,45.47
2022-08-22,45.38
2022-08-23,45.53
2022-08-24,45.8
2022-08-25,46.39
2022-08-26,45.88
2022-08-29,45.71
2022-08-30,45.12
2022-08-31,45.12
2022-09-01,45.37
2022-09-02,45.0
2022-09-06,44.57
2022-09-07,44.95
2022-09-08,45.15
2022-09-09,45.57
2022-09-12,45.15
2022-09-13,42.97
2022-09-14,41.76
2022-09-15,42.01
2022-09-16,42.29
2022-09-19,42.91
2022-09-20,42.92
2022-09-21,43.01
2022-09-22,43.27
2022-09-23,41.68
2022-09-26,41.47
2022-09-27,40.79
2022-09-28,41.41
2022-09-29,41.17
2022-09-30,40.38
2022-10-03,41.37
2022-10-04,42.5
2022-10-05,42.9
2022-10-06,42.99
2022-10-07,42.82
2022-10-10,43.46
2022-10-11,44.35
2022-10-12,44.75
2022-10-13,45.89
2022-10-14,45.23
2022-10-17,44.59
2022-10-18,44.77
2022-10-19,44.67
2022-10-20,43.56
2022-10-21,44.48
2022-10-24,45.41
2022-10-25,45.74
2022-10-26,46.31
2022-10-27,45.42
2022-10-28,46.31
2022-10-31,46.27
2022-11-01,46.14
